Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
DUBAI CREEK HARBOUR,Unit,Flat,1900000,102.05,102.05,2 B/R,0.05
EMIRATE LIVING,Building,Villa,2207200,172.5,172.5,2 B/R,0.28
BUSINESS BAY,Unit,Flat,1175000,99.24,99.24,2 B/R,0.5
BUSINESS BAY,Unit,Flat,2734800,204.2,204.2,3 B/R,0.17
Jabal Ali First,Unit,Flat,565760,50.34,50.34,1 B/R,0.2
EMAAR SOUTH,Building,Villa,1788273,237.85,237.85,4 B/R,0.36
JUMEIRAH LAKES TOWERS,Unit,Flat,450000,89.85,89.85,1 B/R,0.09
BUSINESS BAY,Unit,Flat,816000,84.18,84.18,1 B/R,0.51
MOTOR CITY,Unit,Flat,569232,91.42,91.42,1 B/R,0.4
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,458253,39.38,39.38,Studio,0.12
DUBAI HILLS,Unit,Flat,1760000,126.74,126.74,2 B/R,0.04
Zaabeel Second,Unit,Flat,1375636,121.94,121.94,2 B/R,0.23
BURJ KHALIFA,Unit,Flat,3955000,165.36,165.36,3 B/R,0.1
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,680000,131.76,131.76,2 B/R,0.13
Al Yelayiss 2,Building,Villa,1035532,187.92,187.92,3 B/R,0.39
BURJ KHALIFA,Unit,Flat,695360,42.03,42.03,Studio,0.26
BUSINESS BAY,Unit,Flat,1100000,182.74,182.74,2 B/R,0.49
DUBAI MARINA,Unit,Flat,835280,67.17,67.17,1 B/R,0.23
THE GREENS,Unit,Flat,1440000,100.8,100.8,1 B/R,0.07
THE GREENS,Unit,Flat,862816,94.3,94.3,2 B/R,0.44
MOTOR CITY,Unit,Flat,671184,121.33,121.33,1 B/R,0.35
DUBAI SOUTH,Unit,Stacked Townhouses,1120000,203.14,203.14,2 B/R,0.21
JUMEIRAH LAKES TOWERS,Unit,Flat,747391,72.93,72.93,1 B/R,0.49
THE GREENS,Unit,Flat,880000,70.02,70.02,1 B/R,0.23
JUMEIRAH LAKES TOWERS,Unit,Flat,1800000,219.03,219.03,3 B/R,0.33
DOWN TOWN JABAL ALI,Unit,Flat,366000,95.03,95.03,2 B/R,0.39
BUSINESS BAY,Unit,Flat,932800,47.97,47.97,Studio,0.33
TOWN SQUARE,Unit,Flat,672000,95.14,95.14,2 B/R,0.17
REMRAAM,Unit,Flat,1050000,217.12,217.12,3 B/R,0.25
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,400000,49.1,49.1,Studio,0.25
PALM JUMEIRAH,Unit,Flat,3450000,233.59,233.59,3 B/R,0.18
DUBAI SOUTH,Unit,Stacked Townhouses,1140000,160.96,160.96,2 B/R,0.42
ARABIAN RANCHES I,Building,Villa,4000000,660.04,660.04,3 B/R,0.19
JUMEIRAH BEACH RESIDENCE,Unit,Flat,3189360,178.79,178.79,3 B/R,0.09
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,678400,68.05,68.05,1 B/R,0.06
DUBAI MARINA,Unit,Flat,2332000,144.68,144.68,3 B/R,0.1
JUMEIRAH BEACH RESIDENCE,Unit,Flat,650000,120.26,120.26,2 B/R,0.21
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,932800,104.76,104.76,2 B/R,0.06
ARJAN,Unit,Flat,553000,77.51,77.51,2 B/R,0.42
THE GREENS,Unit,Flat,446250,42.3,42.3,Studio,0.18
DUBAI MARINA,Unit,Flat,895200,77.81,77.81,1 B/R,0.42
CHERRYWOODS,Building,Villa,2420160,274.61,274.61,3 B/R,0.2
DISCOVERY GARDENS,Unit,Flat,368900,51,51,Studio,0.43
BUSINESS BAY,Unit,Flat,1200000,84.38,84.38,1 B/R,0.57
MOTOR CITY,Unit,Flat,708080,97.27,97.27,1 B/R,0.05
REMRAAM,Unit,Flat,851360,148.56,148.56,2 B/R,0.01
BUSINESS BAY,Unit,Flat,701250,43.79,43.79,Studio,0.38
DAMAC HILLS,Unit,Flat,720800,74.45,74.45,1 B/R,0.36
DUBAI MARINA,Unit,Flat,1840000,125.14,125.14,2 B/R,0.43
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1497600,118.32,118.32,2 B/R,0.52
DUBAI MARITIME CITY,Unit,Flat,1154130,87.89,87.89,1 B/R,0.07
AL FURJAN,Unit,Flat,700000,129.86,129.86,2 B/R,0.37
DUBAI HILLS,Building,Villa,2490000,321.52,321.52,4 B/R,0.26
JUMEIRAH LAKES TOWERS,Unit,Flat,1122345,161.27,161.27,3 B/R,0.59
AL FURJAN,Unit,Flat,1017600,110.42,110.42,2 B/R,0.07
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,595111.8,75.39,75.39,1 B/R,0.01
MIRA,Building,Villa,2459200,214.3,214.3,4 B/R,0.4
DUBAI HILLS,Unit,Flat,1168750,60.74,60.74,1 B/R,0.01
VILLANOVA,Building,Villa,2628800,296.93,296.93,4 B/R,0.07
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,734018.65,121.96,121.96,2 B/R,0.06
THE GREENS,Unit,Flat,1206400,84.82,84.82,1 B/R,0.04
Al Kifaf,Unit,Flat,1020000,85.83,85.83,1 B/R,0.34
THE GREENS,Unit,Flat,1759600,121.89,121.89,2 B/R,0.24
DUBAI MARINA,Unit,Flat,525000,85.09,85.09,1 B/R,0.36
DAMAC HILLS,Unit,Flat,1263520,140.33,140.33,2 B/R,0.06
SOBHA HEARTLAND,Unit,Flat,1155000,80.22,80.22,1 B/R,0.42
Wadi Al Safa 5,Building,Villa,2098800,161,161,3 B/R,0.04
MIRA,Building,Villa,1915000,219.88,219.88,3 B/R,0.18
TILAL AL GHAF,Building,Villa,834000,140.42,140.42,3 B/R,0.28
RUKAN,Building,Villa,768633,131.47,131.47,1 B/R,0.44
DUBAI HILLS,Unit,Flat,686880,45.16,45.16,1 B/R,0.17
TILAL AL GHAF,Building,Villa,2459200,140.42,140.42,3 B/R,0.47
TOWN SQUARE,Building,Villa,1945248,213.88,213.88,3 B/R,0.56
Al Kifaf,Unit,Flat,1072500,82.52,82.52,1 B/R,0.54
TILAL AL GHAF,Building,Villa,3058560,247.36,247.36,4 B/R,0.13
SOBHA HEARTLAND,Unit,Flat,1120000,80.18,80.18,1 B/R,0.14
JUMEIRAH LAKES TOWERS,Unit,Flat,1215500,144.66,144.66,2 B/R,0.21
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,760000,114.56,114.56,2 B/R,0.45
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1800000,177.12,177.12,3 B/R,0.03
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,960000,176.18,176.18,2 B/R,0.06
PALM JUMEIRAH,Unit,Flat,1500000,185.22,185.22,2 B/R,0.06
BURJ KHALIFA,Unit,Flat,1339444,122.47,122.47,3 B/R,0.58
DUBAI SPORTS CITY,Unit,Flat,258000,41.61,41.61,Studio,0.6
JADDAF WATERFRONT,Unit,Flat,632000,59.73,59.73,Studio,0.22
DUBAI HARBOUR,Unit,Flat,1655000,130.32,130.32,2 B/R,0.03
JUMEIRAH LAKES TOWERS,Unit,Flat,1200000,124.19,124.19,2 B/R,0.44
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2040000,177.6,177.6,3 B/R,0
DUBAI SCIENCE PARK,Unit,Flat,669920,75.46,75.46,1 B/R,0.58
MEYDAN ONE,Unit,Flat,703840,45.57,45.57,1 B/R,0.03
ARJAN,Unit,Flat,250000,39.99,39.99,Studio,0.39
EMAAR SOUTH,Unit,Flat,880000,112.39,112.39,2 B/R,0.48
TOWN SQUARE,Unit,Flat,720800,83.43,83.43,2 B/R,0.59
BUSINESS BAY,Unit,Flat,875000,92.91,92.91,1 B/R,0.29
EMAAR SOUTH,Building,Villa,2184000,437.85,437.85,4 B/R,0.44
DAMAC HILLS,Unit,Flat,1000000,123.74,123.74,2 B/R,0.14
EMIRATE LIVING,Building,Villa,2898000,254.91,254.91,3 B/R,0.16
THE GREENS,Unit,Flat,1200000,101.55,101.55,2 B/R,0.57
MIRA,Building,Villa,2704177,314.88,314.88,4 B/R,0.16
VILLANOVA,Building,Villa,2119364,229.99,229.99,4 B/R,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,600000,101.55,101.55,2 B/R,0.5
SERENA,Building,Villa,1270000,333.8,333.8,3 B/R,0.27
BURJ KHALIFA,Unit,Flat,1992800,86.48,86.48,1 B/R,0.01
MIRA,Building,Villa,2105800,278.4,278.4,3 B/R,0.21
TOWN SQUARE,Unit,Flat,847600,89.71,89.71,2 B/R,0
DUBAI HILLS,Unit,Flat,885000,66.91,66.91,1 B/R,0.13
DUBAI MARINA,Unit,Flat,1584000,165.51,165.51,2 B/R,0.22
DUBAI HARBOUR,Unit,Flat,588375,68.88,68.88,1 B/R,0.25
JUMEIRAH LAKES TOWERS,Unit,Flat,909500,109.9,109.9,1 B/R,0.52
DUBAI CREEK HARBOUR,Unit,Flat,2077600,100.49,100.49,2 B/R,0.24
BURJ KHALIFA,Unit,Flat,1584000,110.25,110.25,2 B/R,0.1
THE FIELD,Building,Villa,3052800,187.2,187.2,4 B/R,0.04
TOWN SQUARE,Unit,Flat,1187200,132.98,132.98,3 B/R,0.23
ARJAN,Unit,Flat,445200,37.5,37.5,Studio,0.01
MIRA,Building,Villa,2840800,299.71,299.71,4 B/R,0.08
EMAAR SOUTH,Building,Villa,1339840,140.14,140.14,3 B/R,0.12
BURJ KHALIFA,Unit,Flat,1448393,64.76,64.76,1 B/R,0.4
BUSINESS BAY,Unit,Flat,1240000,123.48,123.48,1 B/R,0.18
DUBAI CREEK HARBOUR,Unit,Flat,1487500,65.03,65.03,1 B/R,0.57
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,614800,57.39,57.39,Studio,0.04
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,938573,72.89,72.89,1 B/R,0.26
THE GREENS,Unit,Flat,3074000,183.39,183.39,3 B/R,0.05
JUMEIRAH HEIGHTS,Unit,Flat,2298092,197.81,197.81,2 B/R,0.09
MAJAN,Unit,Flat,876800,121.5,121.5,2 B/R,0.38
JUMEIRAH LAKES TOWERS,Unit,Flat,796240,85.96,85.96,1 B/R,0.03
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1800000,159.78,159.78,3 B/R,0.24
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,733920,121.76,121.76,2 B/R,0.47
AL FURJAN,Unit,Flat,920000,121.1,121.1,2 B/R,0.41
JADDAF WATERFRONT,Unit,Flat,4200000,378.13,378.13,4 B/R,0.09
JUMEIRAH VILLAGE CIRCLE,Building,Villa,3044160,326.27,326.27,4 B/R,0.11
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,932800,174.56,174.56,2 B/R,0.53
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,850000,70.67,70.67,1 B/R,0.52
JUMEIRAH LAKES TOWERS,Unit,Flat,1823200,222.7,222.7,3 B/R,0.14
DUBAI SOUTH,Building,Villa,2713600,229.23,229.23,4 B/R,0.1
ARABIAN RANCHES I,Building,Villa,3498000,255.34,255.34,3 B/R,0.02
BUSINESS BAY,Unit,Flat,968000,94.2,94.2,1 B/R,0.13
DUBAI HILLS,Unit,Flat,2204800,126.61,126.61,2 B/R,0.45
CITY WALK,Unit,Flat,2600000,162.25,162.25,2 B/R,0.05
JUMEIRAH LAKES TOWERS,Unit,Flat,977500,110.55,110.55,2 B/R,0.15
DUBAI MARINA,Unit,Flat,1373760,83.15,83.15,1 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,880000,108.1,108.1,2 B/R,0.2
JUMEIRAH VILLAGE CIRCLE,Building,Villa,871824,135.35,135.35,3 B/R,0.3
LIVING LEGENDS,Building,Villa,1280000,182.68,182.68,3 B/R,0.16
VILLANOVA,Building,Villa,1957440,161,161,3 B/R,0.33
BURJ KHALIFA,Unit,Flat,1144000,69.21,69.21,1 B/R,0.09
TOWN SQUARE,Unit,Flat,840858,82.47,82.47,2 B/R,0.54
RUKAN,Building,Villa,1021000,123.87,123.87,2 B/R,0.36
EMIRATE LIVING,Building,Villa,3328000,255.23,255.23,3 B/R,0.16
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,478400,77.17,77.17,1 B/R,0.09
DUBAI HARBOUR,Unit,Flat,2655000,106.19,106.19,2 B/R,0.03
CITY WALK,Unit,Flat,4006800,215.17,215.17,3 B/R,0.18
DUBAI MARINA,Unit,Flat,6000000,294.77,294.77,4 B/R,0.02
TOWN SQUARE,Building,Villa,1908000,186.99,186.99,3 B/R,0.06
DISCOVERY GARDENS,Unit,Flat,551200,91,91,1 B/R,0.57
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1462400,118.46,118.46,2 B/R,0.06
SUSTAINABLE CITY,Building,Villa,1490000,196.17,196.17,3 B/R,0.29
DUBAI HILLS,Unit,Flat,819821,45.29,45.29,1 B/R,0.2
BURJ KHALIFA,Unit,Flat,1568800,58.62,58.62,1 B/R,0
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,480000,70.55,70.55,1 B/R,0.43
JUMEIRAH LAKES TOWERS,Unit,Flat,1020000,133.67,133.67,1 B/R,0.31
Al Yelayiss 2,Building,Villa,1380000,187.92,187.92,3 B/R,0.17
CITY WALK,Unit,Flat,3999999,210.03,210.03,3 B/R,0.13
BUSINESS BAY,Unit,Flat,1260000,89.8,89.8,2 B/R,0.15
AL FURJAN,Unit,Flat,860000,109.02,109.02,2 B/R,0.12
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,279840,57.5,57.5,Studio,0.29
DUBAI MARINA,Unit,Flat,1280000,107.86,107.86,2 B/R,0.32
BUSINESS BAY,Unit,Flat,2337075,181.18,181.18,3 B/R,0.24
Zaabeel Second,Unit,Flat,2200000,111.85,111.85,2 B/R,0.13
CITY WALK,Unit,Flat,2280000,212.01,212.01,3 B/R,0.1
ARJAN,Unit,Flat,600000,131.38,131.38,2 B/R,0.12
JUMEIRAH LAKES TOWERS,Unit,Flat,521292,69.39,69.39,1 B/R,0.53
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,450000,83.93,83.93,1 B/R,0.46
SOBHA HEARTLAND,Unit,Flat,1154976,77.29,77.29,1 B/R,0.56
DUBAI HILLS,Unit,Flat,1035000,60.74,60.74,1 B/R,0.26
DUBAI HARBOUR,Unit,Flat,1474136,100.43,100.43,2 B/R,0.38
SOBHA HEARTLAND,Unit,Flat,1144000,80.37,80.37,1 B/R,0.56
DUBAI MARINA,Unit,Flat,1187200,102.56,102.56,2 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,610560,123,123,2 B/R,0.07
JUMEIRAH LAKES TOWERS,Unit,Flat,996400,112.6,112.6,1 B/R,0.55
DAMAC HILLS,Unit,Flat,1102400,115.82,115.82,1 B/R,0.46
SOBHA HEARTLAND,Unit,Flat,1394960,84.72,84.72,1 B/R,0.46
BURJ KHALIFA,Unit,Flat,927500,111.36,111.36,1 B/R,0.47
BUSINESS BAY,Unit,Flat,1166000,126.42,126.42,2 B/R,0.14
EMAAR SOUTH,Unit,Flat,1000000,160.48,160.48,2 B/R,0.43
DUBAI SOUTH,Unit,Flat,849046,133.21,133.21,2 B/R,0.39
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,880000,75.04,75.04,1 B/R,0.17
BURJ KHALIFA,Unit,Flat,611517,90.49,90.49,1 B/R,0.53
DUBAI MARINA,Unit,Flat,612000,98.86,98.86,1 B/R,0.07
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,496080,43.18,43.18,Studio,0.41
PALM JUMEIRAH,Unit,Flat,3392000,144.08,144.08,2 B/R,0.04
DUBAI HILLS,Unit,Flat,1321421,87.92,87.92,2 B/R,0.57
DUBAI HILLS,Unit,Flat,2463440,121.41,121.41,2 B/R,0.36
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,512000,94.02,94.02,1 B/R,0.52
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,712320,59.91,59.91,1 B/R,0.39
EMIRATE LIVING,Building,Villa,1780800,172.51,172.51,2 B/R,0.03
BUSINESS BAY,Unit,Flat,435157,38.85,38.85,Studio,0.09
DUBAI SOUTH,Unit,Stacked Townhouses,998400,203.14,203.14,2 B/R,0.54
DUBAI SPORTS CITY,Unit,Flat,669920,90.08,90.08,1 B/R,0.43
TOWN SQUARE,Unit,Flat,828360,90.62,90.62,2 B/R,0.17
DUBAI HILLS,Unit,Flat,890400,68.48,68.48,1 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,432480,68.42,68.42,1 B/R,0.01
BURJ KHALIFA,Unit,Flat,900000,72.74,72.74,1 B/R,0.42
DUBAI HILLS,Unit,Flat,974242.5,67.2,67.2,2 B/R,0.01
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1017600,79.32,79.32,1 B/R,0.47
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,644480,57.61,57.61,1 B/R,0.08
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,912000,130.61,130.61,2 B/R,0.12
AL FURJAN,Unit,Flat,695360,95.26,95.26,1 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,662421,70.54,70.54,1 B/R,0.24
MOTOR CITY,Unit,Flat,616000,97.83,97.83,1 B/R,0.35
THE FIELD,Building,Villa,3985600,283.12,283.12,4 B/R,0
LIVING LEGENDS,Unit,Flat,996400,169.38,169.38,3 B/R,0.12
BURJ KHALIFA,Unit,Flat,1047532,73.9,73.9,1 B/R,0.18
EMAAR SOUTH,Building,Villa,1284720,144.32,144.32,3 B/R,0.33
VILLANOVA,Building,Villa,1965460,175,175,3 B/R,0.5
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,499200,81.97,81.97,1 B/R,0.4
TOWN SQUARE,Building,Villa,1893600,206.45,206.45,3 B/R,0.36
TOWN SQUARE,Unit,Flat,808960,149.81,149.81,2 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,800000,152.74,152.74,2 B/R,0.28
THE GREENS,Unit,Flat,1272000,72.28,72.28,1 B/R,0.41
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,573750,68.1,68.1,1 B/R,0.21
MOTOR CITY,Unit,Flat,512014,136.9,136.9,2 B/R,0.36
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,454727,77.18,77.18,1 B/R,0.48
DUBAI MARINA,Unit,Flat,3993120,161.88,161.88,3 B/R,0.01
ARJAN,Unit,Flat,1232960,139.23,139.23,2 B/R,0.45
MAJAN,Unit,Flat,766560,106.2,106.2,2 B/R,0.07
MEYDAN ONE,Unit,Flat,720800,50.75,50.75,1 B/R,0.2
Zaabeel Second,Unit,Flat,1501200,65.14,65.14,1 B/R,0.52
PALM JUMEIRAH,Unit,Flat,1326968,144.08,144.08,2 B/R,0.27
AL FURJAN,Building,Villa,2320000,222.6,222.6,4 B/R,0.31
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,418509,68.14,68.14,1 B/R,0.29
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,777130,118.5,118.5,2 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,560000,92.83,92.83,1 B/R,0.02
DUBAI HILLS,Building,Villa,3549000,350.22,350.22,4 B/R,0.07
PALM JUMEIRAH,Unit,Flat,2606000,412.81,412.81,3 B/R,0.05
ARABIAN RANCHES I,Building,Villa,1921489,287.5,287.5,3 B/R,0.12
VILLANOVA,Building,Villa,1100000,161,161,3 B/R,0.23
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1391900,102.29,102.29,2 B/R,0.3
DISCOVERY GARDENS,Unit,Flat,500160,90,90,1 B/R,0.13
DUBAI MARINA,Unit,Flat,1250000,146.69,146.69,2 B/R,0.35
MOTOR CITY,Unit,Flat,1160000,210.8,210.8,3 B/R,0.29
CITY OF ARABIA,Unit,Flat,1140344,129.95,129.95,2 B/R,0.22
TOWN SQUARE,Building,Villa,1958212,187.69,187.69,3 B/R,0.03
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1908000,178.67,178.67,3 B/R,0.49
PALM JUMEIRAH,Unit,Flat,1850000,203.17,203.17,3 B/R,0.03
BUSINESS BAY,Unit,Flat,1712922,164.25,164.25,2 B/R,0.13
BUSINESS BAY,Unit,Flat,3278704,266.26,266.26,4 B/R,0.13
LIWAN,Unit,Flat,480000,103.76,103.76,2 B/R,0.49
MIRA,Building,Villa,2400000,371.79,371.79,4 B/R,0.28
TILAL AL GHAF,Building,Villa,1421105,140.43,140.43,3 B/R,0.03
VILLANOVA,Building,Villa,1780800,168.99,168.99,3 B/R,0.02
Jabal Ali First,Unit,Flat,705000,67.49,67.49,2 B/R,0.03
LIWAN,Unit,Flat,820250,145.52,145.52,3 B/R,0.43
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,416000,35.67,35.67,Studio,0.31
DUBAI CREEK HARBOUR,Unit,Flat,929000,167.32,167.32,2 B/R,0.24
DUBAI MARINA,Unit,Flat,1126000,200.79,200.79,3 B/R,0.28
SOBHA HEARTLAND,Unit,Flat,1900000,240.53,240.53,3 B/R,0.17
BUSINESS BAY,Unit,Flat,1710000,132.57,132.57,2 B/R,0.33
BUSINESS BAY,Unit,Flat,1710000,132.57,132.57,2 B/R,0.49
EMAAR SOUTH,Building,Villa,1693120,255.98,255.98,4 B/R,0.04
BURJ KHALIFA,Unit,Flat,211489.55,78.24,78.24,1 B/R,0.16
Zaabeel Second,Unit,Flat,430466,71.93,71.93,1 B/R,0.09
THE GREENS,Unit,Flat,1080000,226.73,226.73,2 B/R,0.31
JUMEIRAH BEACH RESIDENCE,Unit,Flat,3392000,167.95,167.95,3 B/R,0.15
DUBAI HILLS,Unit,Flat,2080960,126.61,126.61,2 B/R,0.07
BUSINESS BAY,Unit,Flat,833600,78.04,78.04,Studio,0.59
AL FURJAN,Unit,Flat,330000,38.82,38.82,Studio,0.18
PALM JUMEIRAH,Unit,Flat,1500000,189.25,189.25,2 B/R,0.6
Al Kifaf,Unit,Flat,3339842,163.9,163.9,3 B/R,0
Me'Aisem First,Building,Villa,4590000,262,262,5 B/R,0.14
MIRA,Building,Villa,2240000,278.38,278.38,3 B/R,0.13
BARSHA HEIGHTS,Unit,Flat,350000,60.68,60.68,Studio,0.04
DUBAI PRODUCTION CITY,Unit,Flat,506250,130.57,130.57,2 B/R,0.16
THE GREENS,Unit,Flat,1040000,85.01,85.01,1 B/R,0.48
BURJ KHALIFA,Unit,Flat,1621800,103.22,103.22,2 B/R,0.58
BUSINESS BAY,Unit,Flat,1297440,83.77,83.77,2 B/R,0.1
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,444320,72.05,72.05,1 B/R,0.13
BUSINESS BAY,Unit,Flat,718200,34.94,34.94,Studio,0
EMAAR SOUTH,Unit,Flat,932800,120.95,120.95,2 B/R,0.43
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,395000,36.58,36.58,Studio,0.4
SOBHA HEARTLAND,Unit,Flat,1102400,80.24,80.24,1 B/R,0.01
JUMEIRAH LAKES TOWERS,Unit,Flat,600000,107.61,107.61,1 B/R,0.44
ARJAN,Unit,Flat,412128,37.65,37.65,Studio,0.26
DUBAI HILLS,Building,Villa,2020000,281.81,281.81,4 B/R,0.35
THE GREENS,Unit,Flat,1715000,122.17,122.17,2 B/R,0.19
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,680000,118.69,118.69,2 B/R,0.45
BUSINESS BAY,Unit,Flat,1401204,114.7,114.7,2 B/R,0.14
EMAAR SOUTH,Unit,Flat,1240000,226.93,226.93,3 B/R,0.23
BUSINESS BAY,Unit,Flat,488898,43.75,43.75,1 B/R,0.5
AL FURJAN,Unit,Flat,295740,37.85,37.85,Studio,0.49
JUMEIRAH LAKES TOWERS,Unit,Flat,630000,95.32,95.32,1 B/R,0.33
REMRAAM,Unit,Flat,678400,93.42,93.42,2 B/R,0.32
EMIRATE LIVING,Building,Villa,2247200,210.6,210.6,3 B/R,0.05
ARJAN,Unit,Flat,1568800,187.16,187.16,3 B/R,0.34
JUMEIRAH LAKES TOWERS,Unit,Flat,580000,89.85,89.85,1 B/R,0.44
JUMEIRAH LAKES TOWERS,Unit,Flat,1146780,183.86,183.86,2 B/R,0.21
EMAAR SOUTH,Unit,Flat,768000,120.95,120.95,2 B/R,0.29
BURJ KHALIFA,Unit,Flat,2880000,159.36,159.36,3 B/R,0.16
EMAAR SOUTH,Building,Villa,1300500,139.07,139.07,3 B/R,0.51
JUMEIRAH LAKES TOWERS,Unit,Flat,1568000,182.65,182.65,2 B/R,0.18
THE LAKES,Building,Villa,3800000,244.15,346.09,3 B/R,0.07
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,457920,75.72,75.72,1 B/R,0.3
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,911600,123.05,123.05,3 B/R,0.1
BLUEWATERS,Unit,Flat,2800000,155.15,155.15,2 B/R,0.02
REMRAAM,Unit,Flat,801000,213.23,213.23,3 B/R,0.01
REMRAAM,Unit,Flat,342000,62.67,62.67,1 B/R,0.06
REMRAAM,Unit,Flat,261000,62.13,62.13,1 B/R,0.52
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,473555,75.63,75.63,1 B/R,0.2
DISCOVERY GARDENS,Unit,Flat,264198,48,48,Studio,0.3
PALM JUMEIRAH,Unit,Flat,2677500,205.78,205.78,3 B/R,0.17
Al Yelayiss 2,Building,Villa,1908000,187.92,187.92,3 B/R,0.24
DUBAI MARINA,Unit,Flat,2848000,105.28,105.28,2 B/R,0
SOBHA HEARTLAND,Unit,Flat,786800,45.53,45.53,1 B/R,0.25
DUBAI SOUTH,Unit,Flat,445159,74.09,74.09,1 B/R,0.12
THE GREENS,Unit,Flat,1313552,120,120,2 B/R,0.08
THE GREENS,Unit,Flat,756000,68.7,68.7,1 B/R,0.35
JADDAF WATERFRONT,Unit,Flat,1074800,136.88,136.88,2 B/R,0.33
DUBAI MARINA,Unit,Flat,384180,33.31,33.31,Studio,0.19
PALM JUMEIRAH,Unit,Flat,3720000,150.62,150.62,2 B/R,0.02
JADDAF WATERFRONT,Unit,Flat,925000,126.11,126.11,2 B/R,0.54
DUBAI HILLS,Building,Villa,1685000,294.46,294.46,4 B/R,0.51
SOBHA HEARTLAND,Unit,Flat,741120,45.43,45.43,1 B/R,0.12
AL FURJAN,Building,Villa,3814704,163.06,163.06,3 B/R,0.16
JUMEIRAH LAKES TOWERS,Unit,Flat,752250,89.85,89.85,1 B/R,0.44
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,314000,78.29,78.29,1 B/R,0.02
DUBAI MARINA,Unit,Flat,1120000,65.47,65.47,1 B/R,0.13
Al Yelayiss 2,Building,Villa,1836450,187.92,187.92,3 B/R,0.37
MIRA,Building,Villa,1250000,216,216,3 B/R,0.51
DUBAI CREEK HARBOUR,Unit,Flat,1229600,66.91,66.91,1 B/R,0.44
VILLANOVA,Building,Villa,1850000,163.03,163.03,3 B/R,0.42
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1929200,156,156,3 B/R,0.12
DUBAI MARINA,Unit,Flat,1224000,80.73,80.73,1 B/R,0.28
DUBAI HILLS,Building,Villa,3528400,281.02,281.02,4 B/R,0.19
TOWN SQUARE,Building,Villa,1891250,188.17,188.17,3 B/R,0.59
DUBAI PRODUCTION CITY,Unit,Flat,844579,97.23,97.23,1 B/R,0.25
TOWN SQUARE,Building,Villa,1732750,187.94,187.94,3 B/R,0.47
BURJ KHALIFA,Unit,Flat,1017600,63.8,63.8,1 B/R,0.33
MOTOR CITY,Unit,Flat,1194298,177.71,177.71,2 B/R,0.49
MIRA,Building,Villa,1425000,333.35,333.35,4 B/R,0.2
